Time Stamp,Name,PTID,LBMP ($/MWHr),Marginal Cost Losses ($/MWHr),Marginal Cost Congestion ($/MWHr),source_file
03/01/2026 00:00,CAPITL,61757,50.65,1.9,0.0,20260301damlbmp_zone.csv
03/01/2026 00:00,CENTRL,61754,48.16,-0.58,0.0,20260301damlbmp_zone.csv
03/01/2026 00:00,DUNWOD,61760,50.79,2.05,0.0,20260301damlbmp_zone.csv
03/01/2026 00:00,GENESE,61753,46.6,-2.14,0.0,20260301damlbmp_zone.csv
03/01/2026 00:00,H Q,61844,49.13,0.39,0.0,20260301damlbmp_zone.csv
03/01/2026 00:00,HUD VL,61758,50.55,1.8,0.0,20260301damlbmp_zone.csv
03/01/2026 00:00,LONGIL,61762,52.01,3.27,0.0,20260301damlbmp_zone.csv
03/01/2026 00:00,MHK VL,61756,50.26,1.51,0.0,20260301damlbmp_zone.csv
03/01/2026 00:00,MILLWD,61759,50.7,1.95,0.0,20260301damlbmp_zone.csv
03/01/2026 00:00,N.Y.C.,61761,51.14,2.39,0.0,20260301damlbmp_zone.csv
03/01/2026 00:00,NORTH,61755,49.91,1.17,0.0,20260301damlbmp_zone.csv
03/01/2026 00:00,NPX,61845,50.01,1.27,0.0,20260301damlbmp_zone.csv
03/01/2026 00:00,O H,61846,45.19,-3.56,0.0,20260301damlbmp_zone.csv
03/01/2026 00:00,PJM,61847,40.81,-0.64,7.3,20260301damlbmp_zone.csv
03/01/2026 00:00,WEST,61752,46.26,-2.48,0.0,20260301damlbmp_zone.csv
03/01/2026 01:00,CAPITL,61757,48.83,1.88,0.0,20260301damlbmp_zone.csv
03/01/2026 01:00,CENTRL,61754,46.34,-0.61,0.0,20260301damlbmp_zone.csv
03/01/2026 01:00,DUNWOD,61760,48.83,1.88,0.0,20260301damlbmp_zone.csv
03/01/2026 01:00,GENESE,61753,44.65,-2.3,0.0,20260301damlbmp_zone.csv
03/01/2026 01:00,H Q,61844,47.37,0.42,0.0,20260301damlbmp_zone.csv
03/01/2026 01:00,HUD VL,61758,48.59,1.64,0.0,20260301damlbmp_zone.csv
03/01/2026 01:00,LONGIL,61762,50.15,3.19,0.0,20260301damlbmp_zone.csv
03/01/2026 01:00,MHK VL,61756,48.45,1.5,0.0,20260301damlbmp_zone.csv
03/01/2026 01:00,MILLWD,61759,48.69,1.74,0.0,20260301damlbmp_zone.csv
03/01/2026 01:00,N.Y.C.,61761,49.12,2.16,0.0,20260301damlbmp_zone.csv
03/01/2026 01:00,NORTH,61755,48.17,1.22,0.0,20260301damlbmp_zone.csv
03/01/2026 01:00,NPX,61845,48.13,1.17,0.0,20260301damlbmp_zone.csv
03/01/2026 01:00,O H,61846,43.24,-3.71,0.0,20260301damlbmp_zone.csv
03/01/2026 01:00,PJM,61847,39.18,-0.75,7.02,20260301damlbmp_zone.csv
03/01/2026 01:00,WEST,61752,44.23,-2.72,0.0,20260301damlbmp_zone.csv
03/01/2026 02:00,CAPITL,61757,47.26,1.82,0.0,20260301damlbmp_zone.csv
03/01/2026 02:00,CENTRL,61754,44.81,-0.64,0.0,20260301damlbmp_zone.csv
03/01/2026 02:00,DUNWOD,61760,47.31,1.86,0.0,20260301damlbmp_zone.csv
03/01/2026 02:00,GENESE,61753,43.17,-2.27,0.0,20260301damlbmp_zone.csv
03/01/2026 02:00,H Q,61844,45.85,0.41,0.0,20260301damlbmp_zone.csv
03/01/2026 02:00,HUD VL,61758,47.08,1.63,0.0,20260301damlbmp_zone.csv
03/01/2026 02:00,LONGIL,61762,48.21,2.77,0.0,20260301damlbmp_zone.csv
03/01/2026 02:00,MHK VL,61756,46.8,1.36,0.0,20260301damlbmp_zone.csv
03/01/2026 02:00,MILLWD,61759,47.21,1.77,0.0,20260301damlbmp_zone.csv
03/01/2026 02:00,N.Y.C.,61761,47.63,2.18,0.0,20260301damlbmp_zone.csv
03/01/2026 02:00,NORTH,61755,46.62,1.18,0.0,20260301damlbmp_zone.csv
03/01/2026 02:00,NPX,61845,46.67,1.23,0.0,20260301damlbmp_zone.csv
03/01/2026 02:00,O H,61846,41.9,-3.54,0.0,20260301damlbmp_zone.csv
03/01/2026 02:00,PJM,61847,37.76,-0.68,7.0,20260301damlbmp_zone.csv
03/01/2026 02:00,WEST,61752,42.85,-2.59,0.0,20260301damlbmp_zone.csv
03/01/2026 03:00,CAPITL,61757,45.31,1.74,0.0,20260301damlbmp_zone.csv
03/01/2026 03:00,CENTRL,61754,43.0,-0.57,0.0,20260301damlbmp_zone.csv
03/01/2026 03:00,DUNWOD,61760,45.22,1.66,0.0,20260301damlbmp_zone.csv
03/01/2026 03:00,GENESE,61753,41.57,-2.0,0.0,20260301damlbmp_zone.csv
