queue_id,queue_pos,project_name,developer,fuel_type,county,state,zone,utility,point_of_interconnection,status,interconnection_type,availability,sp_mw,wp_mw,storage_capability,discharge_duration,proposed_cod,proposed_sync_date,proposed_in_service_date,date_of_ir,ia_tender_date,ia_effective_date,fs_complete_date,sis_complete_date,last_updated_date,date_withdrawn,optional_study,cluster_study,source_sheet,scrape_timestamp,Points of Interconnection,Affected Transmission Owner (ATO),CY/FS Complete Date,Proposed In-Service/Initial Backfeed Date,Proposed Sync Date
0276,0276,Homer Solar Energy Center,Homer Solar Energy Center LLC,S,Cortland,NY,C,NM-NG,,11.0,,"FES, SRIS, FS",90.0,90.0,,,2026-04-01,,,2008-01-30,2021-02-08,,,,2026-01-31,,,,active,2026-03-16T03:48:01,Cortland - Fenner 115kV,,2021-02-08,03-2026,03-2026
0495,0495,Mohawk Solar,Mohawk Solar LLC,S,Montgomery,NY,F,NM-NG,,11.0,,"FES, SRIS, FS",90.5,90.5,,,2027-11-01,,,2015-04-02,2021-02-08,,,,2025-09-30,,,,active,2026-03-16T03:48:01,St. Johnsville - Marshville 115kV,,2021-02-08,06/2027,10/2027
0519,0519,Canisteo Wind,Canisteo Wind Energy LLC,W,Steuben,NY,C,NYSEG,,11.0,,"FES, SRIS, FS",290.7,290.7,,,2027-12-01,,,2015-11-02,2021-02-08,,,,2025-03-31,,,,active,2026-03-16T03:48:01,Bennett 115kV,,2021-02-08,10-2026,01-2027
0521,0521,Bull Run II Wind,Bull Run Energy LLC,W,Clinton,NY,D,NYPA,,10.0,,"FES, SRIS, FS",449.0,449.0,,,2028-05-01,,,2015-12-15,2023-01-11,,,,2025-03-31,,,,active,2026-03-16T03:48:01,"Patnode-Duley, Ryan-Plattsburgh 230kV",,2023-01-11,08-2027,09-2027
0522,0522,NYC Energy,NYC Energy LLC,ES,Kings,NY,J,ConEd,,10.0,,"FES, SRIS, FS",79.9,79.9,,4.0,2027-06-01,,,2015-12-16,,,,,2025-01-31,,,,active,2026-03-16T03:48:01,Hudson Avenue East 138kV,,2024-12-16,05-2027,05-2027
0535,0535,Riverhead Solar 2,"Riverhead Solar 2, LLC",S,Suffolk,NY,K,LIPA,,11.0,,"FES, SRIS, FS",36.0,36.0,,,2028-01-01,,,2016-02-23,2021-02-08,,,,2024-09-30,,,,active,2026-03-16T03:48:01,Edwards 138kV,,2021-02-08,09-2027,12-2027
0564,0564,Rock District Solar,"Rock District Solar, LLC",S,Schoharie,NY,F,NM-NG,,11.0,,"SIS, FS",20.0,20.0,,,2027-02-01,,,2016-07-25,2020-07-10,,,,2021-08-31,,,,active,2026-03-16T03:48:01,Sharon - Cobleskill 69kV,,2020-06-03,01-2027,12-2026
0571,0571,Heritage Wind,"Heritage Wind, LLC",W,Genesee,NY,B,NM-NG,,11.0,,"FES, SRIS, FS",126.0,126.0,,,2027-10-01,,,2016-09-01,2023-01-11,,,,2025-09-30,,,,active,2026-03-16T03:48:01,Lockport - Mortimer 115kV,,2023-01-11,05-2027,08-2027
0572,0572,Greene County 1,Hecate Energy Greene 1 LLC,S,Greene,NY,G,CHG&E,,11.0,,"SIS, FS",20.0,20.0,,,2027-06-01,,,2016-09-06,2020-02-18,,,,2025-05-31,,,,active,2026-03-16T03:48:01,Coxsackie - North Catskill 69kV,,2020-01-24,05-2027,04-2027
0573,0573,Greene County 2,Hecate Energy Greene 2 LLC,S,Greene,NY,G,CHG&E,,11.0,,"SIS, FS",10.0,10.0,,,2027-06-01,,,2016-09-06,2020-02-18,,,,2025-05-31,,,,active,2026-03-16T03:48:01,Coxsackie 13.8kV,,2020-01-24,05-2027,04-2027
0575,0575,Little Pond Solar,"Little Pond Solar, LLC",S,Orange,NY,G,O&R,,11.0,,"FES, SIS, FS",20.0,20.0,,,2027-09-01,,,2016-09-16,2021-01-29,,,,2025-02-28,,,,active,2026-03-16T03:48:01,Mongaup - Shoemaker 69kV,,2020-12-16,07-2027,04-2026
0580,0580,WNY STAMP,Genesee County Economic Devel.,L,Genesee,NY,B,NYPA,,12.0,,SIS,300.0,300.0,,,,,,2016-09-27,,,,,2025-03-31,,,,active,2026-03-16T03:48:01,Kintigh/Niagara - New Rochester 345kV,,,05-2026,
0581,0581,Hills Solar,SunEast Hills Solar LLC,S,Herkimer,NY,E,NM-NG,,11.0,,"FES, SIS, FS",20.0,20.0,,,2026-12-01,,,2025-11-26,2020-04-07,,,,2026-01-31,,,,active,2026-03-16T03:48:01,Fairfield - Inghams 115kV,,2020-02-11,10-2026,06-2026
0584,0584,Dog Corners Solar,Dog Corners Solar NY LLC,S,Cayuga,NY,C,NYSEG,,12.0,,"SIS, FS",20.0,20.0,,,2027-01-01,,,2025-11-25,2019-06-21,,,,2026-01-31,,,,active,2026-03-16T03:48:01,Aurora 34.5kV,,2019-05-08,08-2026,09-2026
0586,0586,Watkins Rd Solar,Watkins Road Solar NY LLC,S,Herkimer,NY,E,NM-NG,,11.0,,"SIS, FS",20.0,20.0,,,2027-02-01,,,2016-11-08,2020-02-18,,,,2025-08-31,,,,active,2026-03-16T03:48:01,Watkins Rd - Ilion 115kV,,2019-11-25,12-2026,11-2026
0590,0590,Scipio Solar,Scipio Solar NY LLC,S,Cayuga,NY,C,NYSEG,,12.0,,"SIS, FS",18.0,18.0,,,2026-12-01,,,2016-12-02,2019-05-22,,,,2026-01-31,,,,active,2026-03-16T03:48:01,Scipio 34.5kV,,2019-03-21,09-2026,09-2026
0591,0591,Highview Solar,SunEast Highview Solar LLC,S,Wyoming,NY,C,NYSEG,,11.0,,"SIS, FS",20.0,20.0,,,2026-11-01,,,2016-12-02,2021-02-08,,,,2026-01-31,,,,active,2026-03-16T03:48:01,South Perry 34.5kV,,2021-02-08,11-2026,11-2026
0592,0592,Niagara Solar,Niagara NY Solar LLC,S,Wyoming,NY,A,NYSEG,,11.0,,"SIS, FS",20.0,20.0,,,2026-12-01,,,2016-12-02,2019-05-22,,,,2026-01-31,,,,active,2026-03-16T03:48:01,Bennington 34.5kV,,2019-04-18,12-2026,12-2026
0596,0596,Alle Catt II Wind,Alle-Catt Wind Energy LLC,W,Cattaraugus,NY,A,NM-NG,,12.0,,"SRIS, FS",339.1,339.1,,,2026-12-01,,,2017-01-04,2021-02-08,,,,2022-09-30,,,,active,2026-03-16T03:48:01,Stolle Rd - Five Mile Rd 345kV,,2021-02-08,05-2026,05-2026
0617,0617,Watkins Glen Solar,"Watkins Glen Solar Energy Center, LLC",S,Schuyler,NY,C,NYSEG,,11.0,,"SRIS, FS",50.0,50.0,,,2028-04-01,,,2017-03-27,2020-12-04,,,,2025-01-31,,,,active,2026-03-16T03:48:01,Bath - Montour Falls 115kV,,2021-02-08,03-2028,04/2028
0620,0620,Gateway Solar Energy Center,"Gateway Solar Energy Center, LLC",S,St. Lawrence,NY,D,NYPA,,11.0,,"FES, SRIS, FS",180.0,180.0,,,2028-04-01,,,2017-03-27,2021-02-08,,,,2025-02-28,,,,active,2026-03-16T03:48:01,Massena - Moses 230kV,,2021-02-08,02-2028,02-2028
