Time Stamp,Name,PTID,LBMP ($/MWHr),Marginal Cost Losses ($/MWHr),Marginal Cost Congestion ($/MWHr)
03/11/2026 00:00,CAPITL,61757,35.47,1.07,0.00
03/11/2026 00:00,CENTRL,61754,33.95,-0.45,0.00
03/11/2026 00:00,DUNWOD,61760,35.43,1.03,0.00
03/11/2026 00:00,GENESE,61753,32.72,-1.68,0.00
03/11/2026 00:00,H Q,61844,34.58,0.17,0.00
03/11/2026 00:00,HUD VL,61758,35.26,0.86,0.00
03/11/2026 00:00,LONGIL,61762,36.05,1.65,0.00
03/11/2026 00:00,MHK VL,61756,34.92,0.52,0.00
03/11/2026 00:00,MILLWD,61759,35.36,0.96,0.00
03/11/2026 00:00,N.Y.C.,61761,35.64,1.24,0.00
03/11/2026 00:00,NORTH,61755,34.88,0.48,0.00
03/11/2026 00:00,NPX,61845,35.19,0.79,0.00
03/11/2026 00:00,O H,61846,31.00,-3.41,0.00
03/11/2026 00:00,PJM,61847,31.92,-1.00,1.48
03/11/2026 00:00,WEST,61752,31.58,-2.82,0.00
03/11/2026 01:00,CAPITL,61757,33.25,1.03,0.00
03/11/2026 01:00,CENTRL,61754,31.76,-0.45,0.00
03/11/2026 01:00,DUNWOD,61760,33.21,1.00,0.00
03/11/2026 01:00,GENESE,61753,30.67,-1.55,0.00
03/11/2026 01:00,H Q,61844,32.34,0.13,0.00
03/11/2026 01:00,HUD VL,61758,33.05,0.84,0.00
03/11/2026 01:00,LONGIL,61762,33.82,1.61,0.00
03/11/2026 01:00,MHK VL,61756,32.70,0.48,0.00
03/11/2026 01:00,MILLWD,61759,33.15,0.93,0.00
03/11/2026 01:00,N.Y.C.,61761,33.41,1.19,0.00
03/11/2026 01:00,NORTH,61755,32.60,0.39,0.00
03/11/2026 01:00,NPX,61845,33.02,0.81,0.00
03/11/2026 01:00,O H,61846,28.90,-3.32,0.00
03/11/2026 01:00,PJM,61847,31.06,-0.94,0.22
03/11/2026 01:00,WEST,61752,29.51,-2.71,0.00
03/11/2026 02:00,CAPITL,61757,31.67,0.98,0.00
03/11/2026 02:00,CENTRL,61754,30.13,-0.55,0.00
